text_clean,campaign
আপনি ৩ vori gold জিতেছেন! Claim করুন: [PHONE],5
Apnar payment-ta prokria korte amader apnar tothyo proyojon. Ekhane click korun: [URL],8
জয়! আপনি Google লটারিতে $৫০০ জিতেছেন। claim করতে: winlottery.tk/claim পূরণ করুন।,5
আপনার debit card-এর limit increase করতে click করুন: [URL],3
বাংলাদেশ ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: [URL],2
জনতা ব্যাংক অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে কল করুন: [PHONE],9
আপনার insurance policy update করুন: [URL],5
"Attractive job এবং study, monthly salary 2 lakh+ এবং PR opportunity @ South Korea। Free education এবং accommodation. [PHONE] [PHONE]",5
জয়ধ্বনি! আপনার নাম সরকারি লটারিতে এসেছে। ৫০ লক্ষ টাকার পুরস্কার।,5
আপনার mobile recharge করতে call করুন: [PHONE],3
Apple iPhone 13 win করেছেন! Delivery confirm করতে call করুন: [PHONE],3
Win free hotel booking with Mashrafe by betting on BPL. Join: [URL],4
আপনার স্টুডেন্ট লোন একাউন্ট সাসপেন্ড। রিঅ্যাক্টিভেট: student-loan.tk,5
100% scholarship for studying abroad. No fee required. Contact today to apply. Contact: [PHONE],1
Bet at the casino and win a free iPhone! Start: [URL],4
"আপনার অ্যাকাউন্টটি অবিলম্বে আপডেট করুন, না হলে এটি বন্ধ হয়ে যাবে। লিঙ্কে ক্লিক করুন: [bit.ly/AccountUpdateBD]",5
আপনার মোবাইল নম্বর যাচাই করতে এখানে ক্লিক করুন: [URL],2
Mashrafi r shathe ekanto sakkhat er sujog pete BPL e baji dhorun. Ekhonii shuru korun: [URL],6
আপনার মোবাইল রিচার্জ করতে কল করুন: [PHONE],9
আপনার পুরস্কারের টাকা পেতে কল করুন: [PHONE],9
Land registration office requires bribe 22000 TK for quick processing: [URL],1
"[URL] Click on the link above if you want to earn TK200 to TK300 daily, click now",1
আপনি আমাদের lucky customer! আপনার free 1 বছরের internet subscription claim করুন। Call করুন 019XX।,3
Click here to recharge your mobile balance: [URL],7
Congratulations! আপনি Radisson Blu তে দুইজনের জন্য free dinner জিতেছেন। Table book করতে call করুন 017XX।,3
Win free match tickets with Shakib! Start betting on cricket: [URL],4
"অভিনন্দন!! দারাজ থেকে BDT 5,000 গিফট ভাউচার পান। দাবির জন্য লিঙ্কে ক্লিক করুন: [URL]",5
"Casino-te baji dhorun ebong 10,000 taka cashback jiten! Shuru korun: xini.eu/00Qe",6
ঈদ উপলয়ে ব্রাক ব্যাংক সবার বিকাশ একাউন্টে ১০০০ টাকা করে দিচ্ছে বোনাস হিসাবে। আমি এইমাত্র বিকাশের ওয়েবসাইটে আমার নাম্বার বসিয়ে টাকা নিলাম। আপনি যদি | এখনো না পেয়ে থাকেন তাহলে নিচের লিংকে ঢুকে আপনার বিকাশ নম্বর দিন আর সাথে সাথে পেয়ে যাবেন ১০০০ টাকা। লিংকঃ [URL],5
"আপনি Grameenphone থেকে 5G router জেতার জন্য selected হয়েছেন। Your winning code হলো GPWIN023। To claim, এই site visit করুন: [URL]",5
"I need 200 people, no advance needed, if you want to work without free investment, inbox me. [URL]",1
Apnar number ta ekta bishesh offer e nirbachito hoyeche! Puroskar pete call korun [PHONE],8
সোনালী ব্যাংক অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। জরুরি ভিত্তিতে বিস্তারিত জানতে এখানে ক্লিক করুন: [URL],2
"Dear Customer, Your income tax refund has been approved for a total of Rs 20,490/-, this amount will be credited soon. Please verify your account number 5XX755. If this is wrong, then click the link below to update your bank account information. Link: [ [URL] Thank you.",1
নগদ অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। কল করুন: [PHONE],9
বাংলাদেশ ব্যাংক অ্যাকাউন্ট আপডেট করতে এখানে ক্লিক করুন: [URL],2
Congratulations! You won 1 crore TK lottery. Contact us to claim prize: [PHONE],1
প্রিয়জনের মুখে হাসি ফুটাতে ডায়াল *213*6551# চার্জ ৮২.৬৭ প্রতিদিন,5
Your son arrested for drug possession. Pay bail 1500 TK immediately: [URL],1
There is a problem with Bangladesh Bank account. Call: [PHONE],1
"আপনার package hold এ আছে, এখানে আপনার package shipping complete করার জন্য আপনাকে আরো information provide করতে হবে: [URL] xjfF50QsUP4",5
Sonali Bank theke apnar jonno joruri barta. Call korun: [PHONE],6
শাকিবের সাথে লাঞ্চ করার সুযোগ পেতে আজই আইপিএলে বাজি ধরুন। শুরু করুন: [URL],0
খণ্ডকালীন জব।বেতন 5000 BDT/দিন।ঘরে বসে কাজ : wa.me/ [PHONE],5
Dutch Bangla Bank alert! Apnar account onekbar wrong password diye access korte chesta hoyeche. Apnar account protect korte verification dite hobe. Login korun ekhuni: [URL] Apnar dheri korle account block hoye jabe.,8
জরুরি নোটিশ: আপনার বিদ্যুৎ বিল বকেয়া। সংযোগ বিচ্ছিন্নের আগে পেমেন্ট: pay-bill.ga,5
"আপনার লোন অনুমোদিত হয়েছে! মাত্র ৫% সুদে ৫,০০,০০০ টাকা লোন পেতে এখনই এই লিঙ্কে ক্লিক করুন",5
