label,text,source,text_clean
smish,IFIC Bank fraud alert! Apnar credit card e duplicate transaction hoyeche. Account freeze hoar age login korun ekhuni: www.ificbank-safe.net and details update korun. Immediate action chara taka loss hoye jabe.,Banglish,IFIC Bank fraud alert! Apnar credit card e duplicate transaction hoyeche. Account freeze hoar age login korun ekhuni: [URL] and details update korun. Immediate action chara taka loss hoye jabe.
smish,Bkash anti-fraud team er notice: Apnar wallet er upor foreign device theke repeated login attempt detect kora hoyeche. Ei suspicious activity protect korte apnar OTP and PIN confirm korte hobe. Please reply to 01712398765 within 2hr. Na korle wallet block hoye jabe permanently.,Banglish,Bkash anti-fraud team er notice: Apnar wallet er upor foreign device theke repeated login attempt detect kora hoyeche. Ei suspicious activity protect korte apnar OTP and PIN confirm korte hobe. Please reply to [PHONE] within 2hr. Na korle wallet block hoye jabe permanently.
normal,Call this number 01827283962.,English,Call this number [PHONE] .
smish,English Premier League-এ বাজি ধরুন এবং ১ কোটি টাকা win করুন। Start করুন: smilesvoegol.servebbs.org/voegol.php,CodeMix,English Premier League-এ বাজি ধরুন এবং ১ কোটি টাকা win করুন। Start করুন: [URL]
promo,2GB with bonus - TK40 - 7 days. Dial *121*5037# or mygp.li/mo,English,2GB with bonus - TK40 - 7 days. Dial *121*5037# or mygp.li/mo
smish,আপনার job application approved হয়েছে এবং salary প্রতি month-এ 40000 টাকা। Contact information: 8801715717370,CodeMix,আপনার job application approved হয়েছে এবং salary প্রতি month-এ 400 টাকা। Contact information: [PHONE]
normal,"Kotha bolte ichche korche, phone korbo ekhon?",Banglish,"Kotha bolte ichche korche, phone korbo ekhon?"
smish,Good Afternoon!! ami HYPE Dhaka (RB DIGITAL LIMITED) theke marketing manager Mithila amader company r ekti camping cholche sekhane apni join kore barite bosei ay korte paren,Banglish,Good Afternoon!! ami HYPE Dhaka (RB DIGITAL LIMITED) theke marketing manager Mithila amader company r ekti camping cholche sekhane apni join kore barite bosei ay korte paren
smish,"https://t.me/Trust_earning_Airdropbot?start=r02156081575
প্রতি রেফারে ২৫০ টাকা ইনকাম করতে পারবেন। উপরের ২ টি লিংক এ ক্লিক করে start করুন এবং Telegram website থেকে দেয়া সেই লিংক টা আপনার প্রেন্ড দের কাছে শেয়ার করুন।",Bengali,[URL] প্রতি রেফারে ২৫০ টাকা ইনকাম করতে পারবেন। উপরের ২ টি লিংক এ ক্লিক করে start করুন এবং Telegram website থেকে দেয়া সেই লিংক টা আপনার প্রেন্ড দের কাছে শেয়ার করুন।
smish,আজই casino-তে bet করুন আর luxury trip জিতুন! Join: smilesvoegol.servebbs.org/voegol.php,CodeMix,আজই casino-তে bet করুন আর luxury trip জিতুন! Join: [URL]
smish,আপনার bank account-এর security-র জন্য login করুন: [bankverify.net/LoginBD],CodeMix,আপনার bank account-এর security-র জন্য login করুন: [URL]
