label,text,source,text_clean,stripped,campaign
smish,আপনি ৩ vori gold জিতেছেন! Claim করুন: +8801716677889,CodeMix,আপনি ৩ vori gold জিতেছেন! Claim করুন: [PHONE],আপনি ৩ vori gold জিতেছেন! Claim করুন:,1.0
smish,জয়! আপনি Google লটারিতে $৫০০০০ জিতেছেন। claim করতে: winlottery.tk/claim পূরণ করুন।,Bengali,জয়! আপনি Google লটারিতে $৫০০ জিতেছেন। claim করতে: winlottery.tk/claim পূরণ করুন।,জয়! আপনি Google লটারিতে $৫০০ জিতেছেন। claim করতে: winlottery.tk/claim পূরণ করুন।,0.0
smish,আপনার debit card-এর limit increase করতে click করুন: [debitcardlimit.com/IncreaseBD],CodeMix,আপনার debit card-এর limit increase করতে click করুন: [URL],আপনার debit card-এর limit increase করতে click করুন:,1.0
smish,বাংলাদেশ ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801917788990,Bengali,বাংলাদেশ ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: [URL],বাংলাদেশ ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন:,3.0
smish,আপনার insurance policy update করুন: [insuranceupdate.com/UpdateBD],CodeMix,আপনার insurance policy update করুন: [URL],আপনার insurance policy update করুন:,1.0
smish,"Attractive job এবং study, monthly salary 2 lakh+ এবং PR opportunity @ South Korea।
Free education এবং accommodation.
01720557103
01720557120
01321200716
01550402100",CodeMix,"Attractive job এবং study, monthly salary 2 lakh+ এবং PR opportunity @ South Korea। Free education এবং accommodation. [PHONE] [PHONE]","Attractive job এবং study, monthly salary 2 lakh+ এবং PR opportunity @ South Korea। Free education এবং accommodation.",1.0
smish,জয়ধ্বনি! আপনার নাম সরকারি লটারিতে এসেছে। ৫০ লক্ষ টাকার পুরস্কার।,Bengali,জয়ধ্বনি! আপনার নাম সরকারি লটারিতে এসেছে। ৫০ লক্ষ টাকার পুরস্কার।,জয়ধ্বনি! আপনার নাম সরকারি লটারিতে এসেছে। ৫০ লক্ষ টাকার পুরস্কার।,1.0
smish,আপনার mobile recharge করতে call করুন: +8801818788890,CodeMix,আপনার mobile recharge করতে call করুন: [PHONE],আপনার mobile recharge করতে call করুন:,12.0
smish,Apple iPhone 13 win করেছেন! Delivery confirm করতে call করুন: +8801814567890,CodeMix,Apple iPhone 13 win করেছেন! Delivery confirm করতে call করুন: [PHONE],Apple iPhone 13 win করেছেন! Delivery confirm করতে call করুন:,12.0
smish,Win free hotel booking with Mashrafe by betting on BPL. Join: promusic.co/components/interbank.com/,English,Win free hotel booking with Mashrafe by betting on BPL. Join: [URL],Win free hotel booking with Mashrafe by betting on BPL. Join:,6.0
