label,text,source,text_clean
smish,জয়! আপনি Google লটারিতে $৫০০০০ জিতেছেন। claim করতে: winlottery.tk/claim পূরণ করুন।,Bengali,জয়! আপনি Google লটারিতে $৫০০ জিতেছেন। claim করতে: winlottery.tk/claim পূরণ করুন।
smish,বাংলাদেশ ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801917788990,Bengali,বাংলাদেশ ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: [URL]
smish,জনতা ব্যাংক অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে কল করুন: +8801815566778,Bengali,জনতা ব্যাংক অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে কল করুন: [PHONE]
normal,ব্যবসায়ী হওয়া অপরাধ না কিন্তু রাজনৈতিক প্রভাব খাটিয়ে ব্যবসায়ী হওয়া বড় অপরাধ। কারণ এই ব্যবসায়ীদের অর্জিত অর্থের বেশিরভাগই আসে সাধারণ মানুষের রক্তচোষা টাকা থেকে। — রেদোয়ান মাসুদ,Bengali,ব্যবসায়ী হওয়া অপরাধ না কিন্তু রাজনৈতিক প্রভাব খাটিয়ে ব্যবসায়ী হওয়া বড় অপরাধ। কারণ এই ব্যবসায়ীদের অর্জিত অর্থের বেশিরভাগই আসে সাধারণ মানুষের রক্তচোষা টাকা থেকে। — রেদোয়ান মাসুদ
promo,"স্টেশনারিতে মেগা সেল! কলম, নোটবুক, ব্যাগে ৩৫% ছাড়।",Bengali,"স্টেশনারিতে মেগা সেল! কলম, নোটবুক, ব্যাগে ৩৫% ছাড়।"
smish,জয়ধ্বনি! আপনার নাম সরকারি লটারিতে এসেছে। ৫০ লক্ষ টাকার পুরস্কার।,Bengali,জয়ধ্বনি! আপনার নাম সরকারি লটারিতে এসেছে। ৫০ লক্ষ টাকার পুরস্কার।
normal,Congratulations on your new job! Let's celebrate this weekend. Dinner is on me!,English,Congratulations on your new job! Let's celebrate this weekend. Dinner is on me!
normal,What is your favorite book? Cyclopedia. And you?,English,What is your favorite book? Cyclopedia. And you?
smish,Win free hotel booking with Mashrafe by betting on BPL. Join: promusic.co/components/interbank.com/,English,Win free hotel booking with Mashrafe by betting on BPL. Join: [URL]
smish,আপনার স্টুডেন্ট লোন একাউন্ট সাসপেন্ড। রিঅ্যাক্টিভেট: student-loan.tk,Bengali,আপনার স্টুডেন্ট লোন একাউন্ট সাসপেন্ড। রিঅ্যাক্টিভেট: student-loan.tk
smish,100% scholarship for studying abroad. No fee required. Contact today to apply. Contact: 01567546390,English,100% scholarship for studying abroad. No fee required. Contact today to apply. Contact: [PHONE]
smish,Bet at the casino and win a free iPhone! Start: phlebolog.com.ua/libraries/joomla/results.php,English,Bet at the casino and win a free iPhone! Start: [URL]
smish,"আপনার অ্যাকাউন্টটি অবিলম্বে আপডেট করুন, না হলে এটি বন্ধ হয়ে যাবে। লিঙ্কে ক্লিক করুন: [bit.ly/AccountUpdateBD]",Bengali,"আপনার অ্যাকাউন্টটি অবিলম্বে আপডেট করুন, না হলে এটি বন্ধ হয়ে যাবে। লিঙ্কে ক্লিক করুন: [bit.ly/AccountUpdateBD]"
promo,পিজা হাটে কম্বো অফার! ২টি পিজা + ২টি কোক = ৭৯৯ টাকা মাত্র।,Bengali,পিজা হাটে কম্বো অফার! ২টি পিজা + ২টি কোক = ৭৯৯ টাকা মাত্র।
promo,Banglalink গ্রাহকরা শুক্রবার ৪ জিবি মাত্র ৭৯ টাকায় পাবেন। বৈধতা ৩ দিন।,Bengali,Banglalink গ্রাহকরা শুক্রবার ৪ জিবি মাত্র ৭৯ টাকায় পাবেন। বৈধতা ৩ দিন।
smish,আপনার মোবাইল নম্বর যাচাই করতে এখানে ক্লিক করুন: [mobileverify.com/VerifyBD],Bengali,আপনার মোবাইল নম্বর যাচাই করতে এখানে ক্লিক করুন: [URL]
promo,KFC Tuesday offer: 2 pieces chicken + fries + drink only 299TK!,English,KFC Tuesday offer: 2 pieces chicken + fries + drink only 299TK!
promo,"TK30 cashback pro-level data deal-22GB@TK167,7 days cutt.ly/7w9OKeZ2",English,"TK30 cashback pro-level data deal-22GB@TK167,7 days cutt.ly/7w9OKeZ2"
smish,আপনার মোবাইল রিচার্জ করতে কল করুন: +8801818899001,Bengali,আপনার মোবাইল রিচার্জ করতে কল করুন: [PHONE]
normal,Are you going to the shopping mall?,English,Are you going to the shopping mall?
promo,"TK35 cashback, now even more data 50GB@TK463,30 days cutt.ly/HwOETkke",English,"TK35 cashback, now even more data 50GB@TK463,30 days cutt.ly/HwOETkke"
smish,আপনার পুরস্কারের টাকা পেতে কল করুন: +8801811234567,Bengali,আপনার পুরস্কারের টাকা পেতে কল করুন: [PHONE]
smish,Land registration office requires bribe 22000 TK for quick processing: land-bribe.bd/urgent,English,Land registration office requires bribe 22000 TK for quick processing: [URL]
smish,"https://t.me/DailyEarn_Money_bot?start=r08368814246
Click on the link above if you want to earn TK200 to TK300 daily, click now",English,"[URL] Click on the link above if you want to earn TK200 to TK300 daily, click now"
smish,Click here to recharge your mobile balance: [securetopup.com/TopupBD],English,Click here to recharge your mobile balance: [URL]
smish,Win free match tickets with Shakib! Start betting on cricket: ebayisapidlld.altervista.org/,English,Win free match tickets with Shakib! Start betting on cricket: [URL]
smish,"অভিনন্দন!! দারাজ থেকে BDT 5,000 গিফট ভাউচার পান। দাবির জন্য লিঙ্কে ক্লিক করুন: www.face3b00kurl.com।",Bengali,"অভিনন্দন!! দারাজ থেকে BDT 5,000 গিফট ভাউচার পান। দাবির জন্য লিঙ্কে ক্লিক করুন: [URL]"
normal,"আম্মু, আমার পরীক্ষার রেজাল্ট কাল বের হবে। দোয়া করবেন।",Bengali,"আম্মু, আমার পরীক্ষার রেজাল্ট কাল বের হবে। দোয়া করবেন।"
normal,Did you go shopping?,English,Did you go shopping?
