label,text,source,text_clean,has_url,has_phone,predicted_as,categories
smish,"Attractive job এবং study, monthly salary 2 lakh+ এবং PR opportunity @ South Korea।
Free education এবং accommodation.
01720557103
01720557120
01321200716
01550402100",CodeMix,"Attractive job এবং study, monthly salary 2 lakh+ এবং PR opportunity @ South Korea। Free education এবং accommodation. [PHONE] [PHONE]",False,True,promo,"['no_url', 'has_numbers']"
smish,জয়ধ্বনি! আপনার নাম সরকারি লটারিতে এসেছে। ৫০ লক্ষ টাকার পুরস্কার।,Bengali,জয়ধ্বনি! আপনার নাম সরকারি লটারিতে এসেছে। ৫০ লক্ষ টাকার পুরস্কার।,False,False,normal,"['no_url', 'no_phone', 'has_numbers']"
smish,আপনার mobile recharge করতে call করুন: +8801818788890,CodeMix,আপনার mobile recharge করতে call করুন: [PHONE],False,True,normal,"['no_url', 'short_text']"
smish,100% scholarship for studying abroad. No fee required. Contact today to apply. Contact: 01567546390,English,100% scholarship for studying abroad. No fee required. Contact today to apply. Contact: [PHONE],False,True,promo,"['no_url', 'has_numbers', 'no_bangla']"
smish,আপনার মোবাইল রিচার্জ করতে কল করুন: +8801818899001,Bengali,আপনার মোবাইল রিচার্জ করতে কল করুন: [PHONE],False,True,normal,"['no_url', 'short_text']"
smish,আপনার পুরস্কারের টাকা পেতে কল করুন: +8801811234567,Bengali,আপনার পুরস্কারের টাকা পেতে কল করুন: [PHONE],False,True,normal,"['no_url', 'short_text']"
smish,আপনি আমাদের lucky customer! আপনার free 1 বছরের internet subscription claim করুন। Call করুন 019XXXXXXXX।,CodeMix,আপনি আমাদের lucky customer! আপনার free 1 বছরের internet subscription claim করুন। Call করুন 019XX।,False,False,promo,"['no_url', 'no_phone', 'has_numbers']"
smish,Apnar number ta ekta bishesh offer e nirbachito hoyeche! Puroskar pete call korun +8801716677889,Banglish,Apnar number ta ekta bishesh offer e nirbachito hoyeche! Puroskar pete call korun [PHONE],False,True,normal,"['no_url', 'no_bangla']"
smish,প্রিয়জনের মুখে হাসি ফুটাতে ডায়াল *213*6551# চার্জ ৮২.৬৭ প্রতিদিন,Bengali,প্রিয়জনের মুখে হাসি ফুটাতে ডায়াল *213*6551# চার্জ ৮২.৬৭ প্রতিদিন,False,False,promo,"['no_url', 'no_phone', 'has_numbers']"
smish,There is a problem with Bangladesh Bank account. Call: +8801818899001,English,There is a problem with Bangladesh Bank account. Call: [PHONE],False,True,normal,"['no_url', 'no_bangla']"
smish,Sonali Bank theke apnar jonno joruri barta. Call korun: +8801716677889,Banglish,Sonali Bank theke apnar jonno joruri barta. Call korun: [PHONE],False,True,normal,"['no_url', 'no_bangla']"
smish,খণ্ডকালীন জব।বেতন 5000 BDT/দিন।ঘরে বসে কাজ : wa.me/85295102105,Bengali,খণ্ডকালীন জব।বেতন 5000 BDT/দিন।ঘরে বসে কাজ : wa.me/ [PHONE],False,True,promo,"['no_url', 'has_numbers']"
smish,"1,00,000 TK binyoge 2,00,000 TK pan! Call korun: +8801919899901",Banglish,"1,00,000 TK binyoge 2,00,000 TK pan! Call korun: [PHONE]",False,True,normal,"['no_url', 'has_numbers', 'no_bangla']"
smish,"Good Afternoon!! আমি HYPE Dhaka (RB DIGITAL LIMITED) থেকে marketing manager Mithila বলছি, আমাদের company তে একটি campaign চলছে, join করে বাসায় বসেই income করতে পারেন।",CodeMix,"Good Afternoon!! আমি HYPE Dhaka (RB DIGITAL LIMITED) থেকে marketing manager Mithila বলছি, আমাদের company তে একটি campaign চলছে, join করে বাসায় বসেই income করতে পারেন।",False,False,normal,"['no_url', 'no_phone']"
smish,"Urgent recruitment:
Office assistant
Accommodation and meals provided",English,Urgent recruitment: Office assistant Accommodation and meals provided,False,False,promo,"['no_url', 'no_phone', 'no_bangla']"
smish,"জরুরী ভিত্তিতে নিয়োগ: 
Office assistant
থাকা খাওয়ার সুন্দর ব্যবস্থা আছে",CodeMix,জরুরী ভিত্তিতে নিয়োগ: Office assistant থাকা খাওয়ার সুন্দর ব্যবস্থা আছে,False,False,promo,"['no_url', 'no_phone']"
smish,Priyo grahok apnar bidyut shongog bichchinno kora hobe aj raat 10.30 minute theke bidyut office. Karon apnar ager masher bill chilo na update obilombe doya kore amader shathe jogajog korun bidyut kormokrta 9163657962 dhonnobad,Banglish,Priyo grahok apnar bidyut shongog bichchinno kora hobe aj raat 10.30 minute theke bidyut office. Karon apnar ager masher bill chilo na update obilombe doya kore amader shathe jogajog korun bidyut kormokrta [PHONE] dhonnobad,False,True,promo,"['no_url', 'has_numbers', 'no_bangla']"
smish,অ্যাপল আইফোন ১৩ জিতেছেন! ডেলিভারি নিশ্চিত করতে কল করুন: +8801814567890,Bengali,অ্যাপল আইফোন ১৩ জিতেছেন! ডেলিভারি নিশ্চিত করতে কল করুন: [PHONE],False,True,promo,"['no_url', 'has_numbers']"
smish,"Dear customer, your card information needs to be updated. Please call the number below quickly and tell your pin number. Contact number: 01345678956",English,"Dear customer, your card information needs to be updated. Please call the number below quickly and tell your pin number. Contact number: [PHONE]",False,True,normal,"['no_url', 'no_bangla']"
smish,"Invest TK 8,000 and get TK 24,000! Call: +8801919900112",English,"Invest TK 8,000 and get TK 24,000! Call: [PHONE]",False,True,promo,"['no_url', 'short_text', 'has_numbers', 'no_bangla']"
smish,Apnar number ti ekti bishesh offer e nirbachito hoyeche! Puroshkar pete call korun +8801711122334,Banglish,Apnar number ti ekti bishesh offer e nirbachito hoyeche! Puroshkar pete call korun [PHONE],False,True,normal,"['no_url', 'no_bangla']"
smish,দারুণ খবর! আমাদের ভ্রমণ প্যাকেজে ৭০% ডিসকাউন্ট! দ্রুত বুকিং করুন এই নম্বরে :01317235293,Bengali,দারুণ খবর! আমাদের ভ্রমণ প্যাকেজে ৭০% ডিসকাউন্ট! দ্রুত বুকিং করুন এই নম্বরে : [PHONE],False,True,promo,"['no_url', 'has_numbers']"
smish,You have $200 cash value from Amazon expiring in 2 days. We can credit up to $500. Click to claim your automatic savings.,English,You have $200 cash value from Amazon expiring in 2 days. We can credit up to $500. Click to claim your automatic savings.,False,False,promo,"['no_url', 'no_phone', 'has_numbers', 'no_bangla']"
smish,"মহান স্বাধীনতা দিবসের শুভেচ্ছা। বিশ্বস্ত ও স্মার্ট ব্যাংকিং সেবায় ২৪/৭ সোনালী ব্যাংক আপনার পাশে।
মোঃ আফজাল করিম
সিইও এন্ড এমডি",Bengali,মহান স্বাধীনতা দিবসের শুভেচ্ছা। বিশ্বস্ত ও স্মার্ট ব্যাংকিং সেবায় ২৪/৭ সোনালী ব্যাংক আপনার পাশে। মোঃ আফজাল করিম সিইও এন্ড এমডি,False,False,promo,"['no_url', 'no_phone', 'has_numbers']"
smish,"Joruri niyog, thaka khawar shubidha shoh 30,000 taka beton/salary jogajog 01727827826",Banglish,"Joruri niyog, thaka khawar shubidha shoh 30,000 taka beton/salary jogajog [PHONE]",False,True,promo,"['no_url', 'has_numbers', 'no_bangla']"
smish,"1,00,000 টাকা investment-এ 3,00,000 টাকা পান! Call করুন: +8801914344356",CodeMix,"1,00,000 টাকা investment-এ 3,00,000 টাকা পান! Call করুন: [PHONE]",False,True,normal,"['no_url', 'has_numbers']"
smish,আপনার নম্বরটি পুরস্কার জিতেছে। বিস্তারিত জানতে কল করুন +8801718899001,Bengali,আপনার নম্বরটি পুরস্কার জিতেছে। বিস্তারিত জানতে কল করুন [PHONE],False,True,normal,['no_url']
smish,"Greetings on the great Independence Day. Sonali Bank is with you 24/7 in trusted and smart banking services.
Md. Afzal Karim
CEO and MD",English,Greetings on the great Independence Day. Sonali Bank is with you 24/7 in trusted and smart banking services. Md. Afzal Karim CEO and MD,False,False,promo,"['no_url', 'no_phone', 'has_numbers', 'no_bangla']"
smish,"Dear customer, your electricity connection will be disconnected from the electricity office today at 11:30 PM because last month's bill has not been paid. Please contact our electricity officer immediately at 09874567456. Thank you.",English,"Dear customer, your electricity connection will be disconnected from the electricity office today at 11:30 PM because last month's bill has not been paid. Please contact our electricity officer immediately at [PHONE] . Thank you.",False,True,normal,"['no_url', 'has_numbers', 'no_bangla']"
smish,Jonota Bank theke guruttopurno barta. Call korun: +8801715455567,Banglish,Jonota Bank theke guruttopurno barta. Call korun: [PHONE],False,True,normal,"['no_url', 'no_bangla']"
smish,"Priyo abedonkari, Mongol 04/05 tarikh-e sokal 9 tay @1st tolay kendro shotru netritwer sathe ekti inter-view-er jonno apnake bachai kora hoyeche. Onusondhaner jonno onugroho kore jogajog korun: 09029900659",Banglish,"Priyo abedonkari, Mongol 04/05 tarikh-e sokal 9 tay @1st tolay kendro shotru netritwer sathe ekti inter-view-er jonno apnake bachai kora hoyeche. Onusondhaner jonno onugroho kore jogajog korun: [PHONE]",False,True,promo,"['no_url', 'has_numbers', 'no_bangla']"
smish,"Nagad account এ TK10,000 জমা হয়েছে। বিস্তারিত জানতে call করুন: +8801817677789",CodeMix,"Nagad account এ TK10,000 জমা হয়েছে। বিস্তারিত জানতে call করুন: [PHONE]",False,True,normal,"['no_url', 'has_numbers']"
smish,Jonota Bank theke joruri borto. Call korun: +8801719900112,Banglish,Jonota Bank theke joruri borto. Call korun: [PHONE],False,True,normal,"['no_url', 'no_bangla']"
smish,আপনার gas bill due রয়েছে। Immediately payment করুন। Call করুন +8801814455667,CodeMix,আপনার gas bill due রয়েছে। Immediately payment করুন। Call করুন [PHONE],False,True,normal,['no_url']
smish,protidin 500-700 taka income korun notun sim nie! bistarito jante inbox korun.,Banglish,protidin 500-700 taka income korun notun sim nie! bistarito jante inbox korun.,False,False,normal,"['no_url', 'no_phone', 'has_numbers', 'no_bangla']"
smish,"Your land sale money has been deposited, call: +8801819900112",English,"Your land sale money has been deposited, call: [PHONE]",False,True,normal,"['no_url', 'no_bangla']"
smish,"প্রিয় customer আপনার
electric connection disconnect করা হবে
today রাত ১০.৩০ minute-এ
থেকে
electricity office।
কারণ আপনার
last month-র bill pay ছিল না
Update immediately please
আমাদের সাথে contact করুন
electric officer
9163657962 Thank you",CodeMix,প্রিয় customer আপনার electric connection disconnect করা হবে today রাত ১০.৩০ minute-এ থেকে electricity office। কারণ আপনার last month-র bill pay ছিল না Update immediately please আমাদের সাথে contact করুন electric officer [PHONE] Thank you,False,True,normal,"['no_url', 'has_numbers']"
smish,"1,000 taka has been deposited in Nagad account. Call for details: +8801711011123",English,"1,000 taka has been deposited in Nagad account. Call for details: [PHONE]",False,True,normal,"['no_url', 'has_numbers', 'no_bangla']"
smish,Download the largest social gaming app to play 100+ mobile games and win cash prizes up to 25 crore taka daily.,English,Download the largest social gaming app to play 100+ mobile games and win cash prizes up to 25 crore taka daily.,False,False,promo,"['no_url', 'no_phone', 'has_numbers', 'no_bangla']"
smish,আপনার internet connection আবার চালু করতে call করুন +8801811122334,CodeMix,আপনার internet connection আবার চালু করতে call করুন [PHONE],False,True,normal,['no_url']
smish,"আপনার মৌলিক স্থায়ীত্বের মধ্যে ক্যামব্রিজ ইউনিভার্সিটি এপ্লিকেশন ফি মুক্ত! পড়ার স্বপ্ন পূরণ করতে আজই যোগাযোগ করুন - ০১৭৪৬৬৩৫৭২৫""",Bengali,"আপনার মৌলিক স্থায়ীত্বের মধ্যে ক্যামব্রিজ ইউনিভার্সিটি এপ্লিকেশন ফি মুক্ত! পড়ার স্বপ্ন পূরণ করতে আজই যোগাযোগ করুন - [PHONE] """,False,True,promo,['no_url']
smish,"""Abhinondon! Apni pasen"" ""Bkash"""" & BRAC""""N.G.O"""" pokko teke """"STUDENT britt"""" (Taka-10,499/) apnar poriman ID: ekhon apnar prothoi nirbachon korun: Bistrito janta kol korun office: 01794567889 (am 11 to 5pm) othoba""""thik achhe""""lekha SMS korbo? Amra apnar kacha kol korbo.!""",Banglish,"""Abhinondon! Apni pasen"" ""Bkash"""" & BRAC""""N.G.O"""" pokko teke """"STUDENT britt"""" (Taka-10,499/) apnar poriman ID: ekhon apnar prothoi nirbachon korun: Bistrito janta kol korun office: [PHONE] (am 11 to 5pm) othoba""""thik achhe""""lekha SMS korbo? Amra apnar kacha kol korbo.!""",False,True,normal,"['no_url', 'has_numbers', 'no_bangla']"
smish,"You will not get your money delayed, call quickly: +8801912345678",English,"You will not get your money delayed, call quickly: [PHONE]",False,True,normal,"['no_url', 'no_bangla']"
smish,জনতা ব্যাংক থেকে জরুরি বার্তা। কল করুন: +8801913233245,Bengali,জনতা ব্যাংক থেকে জরুরি বার্তা। কল করুন: [PHONE],False,True,normal,"['no_url', 'short_text']"
smish,আপনার মোবাইল রিচার্জ করতে কল করুন: +8801814344356,Bengali,আপনার মোবাইল রিচার্জ করতে কল করুন: [PHONE],False,True,normal,"['no_url', 'short_text']"
smish,"১০০% গেরান্টিসহ মালেশিয়ান, ইউরোপিয়ান,আমেরিকা, কানাডা ভিসা পেতে আজই যোগাযোগ করুন ০১৭৬৫৪৩৩৪২২, অগ্রীম ফি লাগবে না। ",Bengali,"১০০% গেরান্টিসহ মালেশিয়ান, ইউরোপিয়ান,আমেরিকা, কানাডা ভিসা পেতে আজই যোগাযোগ করুন [PHONE] , অগ্রীম ফি লাগবে না।",False,True,promo,"['no_url', 'has_numbers']"
smish,আপনার মোবাইল রিচার্জ করতে কল করুন: +8801815455567,Bengali,আপনার মোবাইল রিচার্জ করতে কল করুন: [PHONE],False,True,normal,"['no_url', 'short_text']"
