label,text,source,text_clean,has_url,has_phone
smish,Apnar payment-ta prokria korte amader apnar tothyo proyojon. Ekhane click korun: [verifysecure.com/InfoBD],Banglish,Apnar payment-ta prokria korte amader apnar tothyo proyojon. Ekhane click korun: [URL],True,False
smish,আপনার debit card-এর limit increase করতে click করুন: [debitcardlimit.com/IncreaseBD],CodeMix,আপনার debit card-এর limit increase করতে click করুন: [URL],True,False
smish,বাংলাদেশ ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801917788990,Bengali,বাংলাদেশ ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: [URL],True,False
smish,আপনার insurance policy update করুন: [insuranceupdate.com/UpdateBD],CodeMix,আপনার insurance policy update করুন: [URL],True,False
smish,Win free hotel booking with Mashrafe by betting on BPL. Join: promusic.co/components/interbank.com/,English,Win free hotel booking with Mashrafe by betting on BPL. Join: [URL],True,False
smish,Bet at the casino and win a free iPhone! Start: phlebolog.com.ua/libraries/joomla/results.php,English,Bet at the casino and win a free iPhone! Start: [URL],True,False
smish,আপনার মোবাইল নম্বর যাচাই করতে এখানে ক্লিক করুন: [mobileverify.com/VerifyBD],Bengali,আপনার মোবাইল নম্বর যাচাই করতে এখানে ক্লিক করুন: [URL],True,False
smish,Mashrafi r shathe ekanto sakkhat er sujog pete BPL e baji dhorun. Ekhonii shuru korun: ebayisapidlld.altervista.org/,Banglish,Mashrafi r shathe ekanto sakkhat er sujog pete BPL e baji dhorun. Ekhonii shuru korun: [URL],True,False
smish,Land registration office requires bribe 22000 TK for quick processing: land-bribe.bd/urgent,English,Land registration office requires bribe 22000 TK for quick processing: [URL],True,False
smish,"https://t.me/DailyEarn_Money_bot?start=r08368814246
Click on the link above if you want to earn TK200 to TK300 daily, click now",English,"[URL] Click on the link above if you want to earn TK200 to TK300 daily, click now",True,False
smish,Click here to recharge your mobile balance: [securetopup.com/TopupBD],English,Click here to recharge your mobile balance: [URL],True,False
smish,Win free match tickets with Shakib! Start betting on cricket: ebayisapidlld.altervista.org/,English,Win free match tickets with Shakib! Start betting on cricket: [URL],True,False
smish,"অভিনন্দন!! দারাজ থেকে BDT 5,000 গিফট ভাউচার পান। দাবির জন্য লিঙ্কে ক্লিক করুন: www.face3b00kurl.com।",Bengali,"অভিনন্দন!! দারাজ থেকে BDT 5,000 গিফট ভাউচার পান। দাবির জন্য লিঙ্কে ক্লিক করুন: [URL]",True,False
smish,"ঈদ উপলয়ে ব্রাক ব্যাংক সবার বিকাশ একাউন্টে ১০০০ টাকা করে দিচ্ছে বোনাস হিসাবে। আমি এইমাত্র বিকাশের ওয়েবসাইটে আমার নাম্বার বসিয়ে টাকা নিলাম। আপনি যদি | এখনো না পেয়ে থাকেন তাহলে নিচের লিংকে ঢুকে আপনার বিকাশ নম্বর দিন আর সাথে সাথে পেয়ে যাবেন ১০০০ টাকা।
লিংকঃ https://bit.ly/bKash_1000",Bengali,ঈদ উপলয়ে ব্রাক ব্যাংক সবার বিকাশ একাউন্টে ১০০০ টাকা করে দিচ্ছে বোনাস হিসাবে। আমি এইমাত্র বিকাশের ওয়েবসাইটে আমার নাম্বার বসিয়ে টাকা নিলাম। আপনি যদি | এখনো না পেয়ে থাকেন তাহলে নিচের লিংকে ঢুকে আপনার বিকাশ নম্বর দিন আর সাথে সাথে পেয়ে যাবেন ১০০০ টাকা। লিংকঃ [URL],True,False
smish,"আপনি Grameenphone থেকে 5G router জেতার জন্য selected হয়েছেন। Your winning code হলো GPWIN023। To claim, এই site visit করুন: http://gp-offer-claims.net",CodeMix,"আপনি Grameenphone থেকে 5G router জেতার জন্য selected হয়েছেন। Your winning code হলো GPWIN023। To claim, এই site visit করুন: [URL]",True,False
smish,"I need 200 people, no advance needed, if you want to work without free investment, inbox me. https://jycmyfyxx.toeverge.top/7e3ackVlQwlzSkV6BEIDeH9QD39bByUBDk9vJ289FAZZUFJNZBYCASsVPDQ4UiQAAy1cIzJSGkRyNSF_ClxRVnIhWwsR&p=rqrrms&_mi1711019676868",English,"I need 200 people, no advance needed, if you want to work without free investment, inbox me. [URL]",True,False
smish,সোনালী ব্যাংক অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। জরুরি ভিত্তিতে বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801819876543,Bengali,সোনালী ব্যাংক অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। জরুরি ভিত্তিতে বিস্তারিত জানতে এখানে ক্লিক করুন: [URL],True,False
smish,"Dear Customer,

Your income tax refund has been approved for a total of Rs 20,490/-, this amount will be credited soon. Please verify your account number 5XXXXXXXXXX755. If this is wrong, then click the link below to update your bank account information.

Link: [https://bit.ly/20wpYK6](https://bit.ly/20wpYK6)

Thank you.",English,"Dear Customer, Your income tax refund has been approved for a total of Rs 20,490/-, this amount will be credited soon. Please verify your account number 5XX755. If this is wrong, then click the link below to update your bank account information. Link: [ [URL] Thank you.",True,False
smish,বাংলাদেশ ব্যাংক অ্যাকাউন্ট আপডেট করতে এখানে ক্লিক করুন: https://wa.me/8801914567890,Bengali,বাংলাদেশ ব্যাংক অ্যাকাউন্ট আপডেট করতে এখানে ক্লিক করুন: [URL],True,False
smish,Your son arrested for drug possession. Pay bail 150000 TK immediately: police-bail.bd/urgent,English,Your son arrested for drug possession. Pay bail 1500 TK immediately: [URL],True,False
smish,"আপনার package hold এ আছে, এখানে আপনার package shipping complete করার জন্য আপনাকে আরো information provide করতে হবে:https://ow.ly/ xjfF50QsUP4",CodeMix,"আপনার package hold এ আছে, এখানে আপনার package shipping complete করার জন্য আপনাকে আরো information provide করতে হবে: [URL] xjfF50QsUP4",True,False
smish,শাকিবের সাথে লাঞ্চ করার সুযোগ পেতে আজই আইপিএলে বাজি ধরুন। শুরু করুন: ebayisapidlld.altervista.org/,Bengali,শাকিবের সাথে লাঞ্চ করার সুযোগ পেতে আজই আইপিএলে বাজি ধরুন। শুরু করুন: [URL],True,False
smish,Dutch Bangla Bank alert! Apnar account onekbar wrong password diye access korte chesta hoyeche. Apnar account protect korte verification dite hobe. Login korun ekhuni: www.dbbl-update-login.org. Apnar dheri korle account block hoye jabe.,Banglish,Dutch Bangla Bank alert! Apnar account onekbar wrong password diye access korte chesta hoyeche. Apnar account protect korte verification dite hobe. Login korun ekhuni: [URL] Apnar dheri korle account block hoye jabe.,True,False
smish,https://t.me/darazbotpay_bot?start=r05257773745 Ekta refer korle 200 taka 25ta refer korlei taka tulte parben to ar deri na kore ekhoni telegram e giye start koira den shobai😊🫶,Banglish,[URL] Ekta refer korle 200 taka 25ta refer korlei taka tulte parben to ar deri na kore ekhoni telegram e giye start koira den shobai😊🫶,True,False
smish,Click here to increase your credit card limit: [creditcardlimit.com/IncreaseBD],English,Click here to increase your credit card limit: [URL],True,False
smish,Free mining income https://t.me/hamster_koMbat_bot/start?startapp=kentId6816861581,English,Free mining income [URL],True,False
smish,আপনার পাসওয়ার্ডটি অবিলম্বে পরিবর্তন করুন। এখানে ক্লিক করুন: [passwordchange.com/ChangeBD],Bengali,আপনার পাসওয়ার্ডটি অবিলম্বে পরিবর্তন করুন। এখানে ক্লিক করুন: [URL],True,False
smish,"Robi ব্যবহারকারী, আপনার সিম অবিলম্বে যাচাই করতে robicare-verification.org এ গিয়ে নাম, জন্মতারিখ এবং OTP দিন। যাচাই না করলে ১২ ঘণ্টার মধ্যে সিম ব্লক হবে।",Bengali,"Robi ব্যবহারকারী, আপনার সিম অবিলম্বে যাচাই করতে [URL] এ গিয়ে নাম, জন্মতারিখ এবং OTP দিন। যাচাই না করলে ১২ ঘণ্টার মধ্যে সিম ব্লক হবে।",True,False
smish,আপনার email address টি verify করতে এখানে click করুন: [emailsecure.net/VerifyBD],CodeMix,আপনার email address টি verify করতে এখানে click করুন: [URL],True,False
smish,Apnar email thikanati jachai korte ekhane click korun: [emailsecure.net/VerifyBD],Banglish,Apnar email thikanati jachai korte ekhane click korun: [URL],True,False
smish,Your package is on hold. Click here to provide additional information to complete shipping: https://ow.ly/ xjfF50QsUP4,English,Your package is on hold. Click here to provide additional information to complete shipping: [URL] xjfF50QsUP4,True,False
smish,Your driving license points exceeded limit. Restore with penalty 5500 TK: license-points.bd/restore,English,Your driving license points exceeded limit. Restore with penalty 5500 TK: [URL],True,False
smish,Nagad wallet er upor 2 bar suspicious transaction attempt kora hoyeche. Ei unauthorized activity block korte login korun nagad-protect.org immediately. Failure hole wallet deactivate hoye jabe.,Banglish,Nagad wallet er upor 2 bar suspicious transaction attempt kora hoyeche. Ei unauthorized activity block korte login korun [URL] immediately. Failure hole wallet deactivate hoye jabe.,True,False
smish,বাংলাদেশ ব্যাংক থেকে আপনার জন্য জরুরি বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801919900112,Bengali,বাংলাদেশ ব্যাংক থেকে আপনার জন্য জরুরি বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: [URL],True,False
smish,আপনার ইমেল ঠিকানাটি যাচাই করতে এখানে ক্লিক করুন: [secureemail.com/VerifyBD],Bengali,আপনার ইমেল ঠিকানাটি যাচাই করতে এখানে ক্লিক করুন: [URL],True,False
smish,Your bank card অবিলম্বে update করুন। এখানে click করুন: \[bankcardupdate.com/UpdateBD],CodeMix,Your bank card অবিলম্বে update করুন। এখানে click করুন: [URL],True,False
smish,Crypto trading-এ বড় লাভ! আজই start করুন: http://bit.ly/BigProfit,CodeMix,Crypto trading-এ বড় লাভ! আজই start করুন: [URL],True,False
